product_id,date,demand,Description,Group,Brand,CasePerPallet,KgPerCase,ShelfLifeInDays,NetSalesValuePerCase,COGSPerCase,ProfitPerCase,DailyProfit,ShelfLifeLabel,StockMovement,Profitability,Perish,Summer,EventDay
12385000,2019-06-12,119,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,13078100,Long,Fast,A,C3,1,0
12385000,2019-06-13,144,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,15825600,Long,Fast,A,C3,1,0
12385000,2019-06-14,95,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,10440500,Long,Fast,A,C3,1,0
12385000,2019-06-15,113,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,12418700,Long,Fast,A,C3,1,0
12385000,2019-06-16,130,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14287000,Long,Fast,A,C3,1,0
12385000,2019-06-17,8,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,879200,Long,Normal,B,C2,1,0
12385000,2019-06-18,104,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,11429600,Long,Fast,A,C3,1,0
12385000,2019-06-19,38,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,4176200,Long,Fast,A,C3,1,0
12385000,2019-06-20,134,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,14726600,Long,Fast,A,C3,1,0
12385000,2019-06-21,80,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,8792000,Long,Fast,A,C3,1,0
12385000,2019-06-22,293,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,32200700,Long,Fast,A,C3,1,0
12385000,2019-06-23,32,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,3516800,Long,Fast,A,C3,1,0
12385000,2019-06-24,150,MILO Chocolate Malt Cup 18x55g TH,CUP,MILO,270,0.99,730,157000,47100,109900,16485000,Long,Fast,A,C3,1,0
